system:index,b1,b2,b3,.geo
0,150,216,63,"{""type"":""Point"",""coordinates"":[20.457253981572418,44.86775579796895]}"
1,42,116,141,"{""type"":""Point"",""coordinates"":[20.5631782716296,44.88237749075037]}"
2,27,90,114,"{""type"":""Point"",""coordinates"":[20.513066993530824,44.79885389964365]}"
3,38,133,141,"{""type"":""Point"",""coordinates"":[20.543917375298996,44.88188225957355]}"
4,31,153,138,"{""type"":""Point"",""coordinates"":[20.301936098471398,44.8055475327339]}"
5,36,135,141,"{""type"":""Point"",""coordinates"":[20.27885575636027,44.864531108498156]}"
6,213,211,35,"{""type"":""Point"",""coordinates"":[20.374117432492778,44.804878142273246]}"
7,36,135,141,"{""type"":""Point"",""coordinates"":[20.311304503174767,44.74946124320668]}"
8,36,146,136,"{""type"":""Point"",""coordinates"":[20.349805302573102,44.748740584452506]}"
9,233,204,39,"{""type"":""Point"",""coordinates"":[20.385105357453185,44.79734856797754]}"
10,151,216,64,"{""type"":""Point"",""coordinates"":[20.452934695455077,44.86408200591707]}"
11,158,150,21,"{""type"":""Point"",""coordinates"":[20.365578145777626,44.84043912365805]}"
12,42,117,141,"{""type"":""Point"",""coordinates"":[20.424135543626672,44.891905907105794]}"
13,31,153,138,"{""type"":""Point"",""coordinates"":[20.3004609206038,44.76525804823146]}"
14,53,97,142,"{""type"":""Point"",""coordinates"":[20.567190003818155,44.78073975633343]}"
15,39,132,140,"{""type"":""Point"",""coordinates"":[20.532897426300636,44.87303347498276]}"
16,36,135,141,"{""type"":""Point"",""coordinates"":[20.319081021119842,44.820143682498966]}"
17,43,116,141,"{""type"":""Point"",""coordinates"":[20.279575873088397,44.746274153304675]}"
18,57,92,136,"{""type"":""Point"",""coordinates"":[20.54984041165462,44.74400756450009]}"
19,150,216,62,"{""type"":""Point"",""coordinates"":[20.506870045082817,44.77503711495305]}"
20,35,153,145,"{""type"":""Point"",""coordinates"":[20.35299790469798,44.881649953924374]}"
21,36,135,141,"{""type"":""Point"",""coordinates"":[20.334421888631187,44.76442194513428]}"
22,206,195,40,"{""type"":""Point"",""coordinates"":[20.381369627367555,44.8457151250557]}"
23,225,214,35,"{""type"":""Point"",""coordinates"":[20.351688240934358,44.84219208437908]}"
24,254,254,255,"{""type"":""Point"",""coordinates"":[20.28830199165885,44.747476987055485]}"
25,36,135,141,"{""type"":""Point"",""coordinates"":[20.44848897031813,44.856986823692054]}"
26,43,111,137,"{""type"":""Point"",""coordinates"":[20.46380577432455,44.738343602801365]}"
27,75,189,106,"{""type"":""Point"",""coordinates"":[20.57234382004337,44.81000104352096]}"
28,36,135,141,"{""type"":""Point"",""coordinates"":[20.334504452001525,44.8362329852926]}"
29,36,135,141,"{""type"":""Point"",""coordinates"":[20.34877503236747,44.82649697495445]}"
30,39,133,142,"{""type"":""Point"",""coordinates"":[20.4835705903203,44.88408303965096]}"
31,70,190,111,"{""type"":""Point"",""coordinates"":[20.361430711512543,44.8208072506795]}"
32,69,1,84,"{""type"":""Point"",""coordinates"":[20.502182066106442,44.85790448687786]}"
33,178,177,15,"{""type"":""Point"",""coordinates"":[20.411663149180914,44.76408253915779]}"
34,36,135,141,"{""type"":""Point"",""coordinates"":[20.450851669971026,44.85947971979636]}"
35,227,128,37,"{""type"":""Point"",""coordinates"":[20.47603843697151,44.822278919266054]}"
36,132,219,83,"{""type"":""Point"",""coordinates"":[20.370030814780087,44.73602420957686]}"
37,70,0,86,"{""type"":""Point"",""coordinates"":[20.50655501698832,44.824538643934176]}"
38,123,210,78,"{""type"":""Point"",""coordinates"":[20.448549650950476,44.793078587323414]}"
39,213,202,35,"{""type"":""Point"",""coordinates"":[20.480114358060366,44.84930946776028]}"
40,218,215,34,"{""type"":""Point"",""coordinates"":[20.523520445518603,44.812083285451145]}"
41,92,194,125,"{""type"":""Point"",""coordinates"":[20.29101186093482,44.81322446914986]}"
42,70,169,108,"{""type"":""Point"",""coordinates"":[20.49678947836653,44.75205728263543]}"
43,199,235,222,"{""type"":""Point"",""coordinates"":[20.549482399092316,44.740374500710274]}"
44,36,135,141,"{""type"":""Point"",""coordinates"":[20.295165393923167,44.84796097038677]}"
45,36,172,131,"{""type"":""Point"",""coordinates"":[20.52441295091073,44.74101707235562]}"
46,69,1,84,"{""type"":""Point"",""coordinates"":[20.352155683080618,44.769411963901895]}"
47,37,135,142,"{""type"":""Point"",""coordinates"":[20.334610900125465,44.84617475729735]}"
48,190,220,222,"{""type"":""Point"",""coordinates"":[20.337713850778083,44.88460343305219]}"
